text,char,word,index,index_num,line,id
"Be, as thy presence is, gracious and kind,",42,8,X,10,11,147
Or to thyself at least kind-hearted prove:,42,7,X,10,12,148
"Make thee another self for love of me,",38,8,X,10,13,149
That beauty still may live in thine or thee.,44,9,X,10,14,150
XI,2,1,XI,11,0,151
"As fast as thou shalt wane, so fast thou grow'st,",49,10,XI,11,1,152
"In one of thine, from that which thou departest;",48,9,XI,11,2,153
"And that fresh blood which youngly thou bestow'st,",50,8,XI,11,3,154
"Thou mayst call thine when thou from youth convertest,",54,9,XI,11,4,155
"Herein lives wisdom, beauty, and increase;",42,6,XI,11,5,156
"Without this folly, age, and cold decay:",40,7,XI,11,6,157
"If all were minded so, the times should cease",45,9,XI,11,7,158
And threescore year would make the world away.,46,8,XI,11,8,159
"Let those whom nature hath not made for store,",46,9,XI,11,9,160
"Harsh, featureless, and rude, barrenly perish:",46,6,XI,11,10,161
"Look, whom she best endow'd, she gave thee more;",48,9,XI,11,11,162
Which bounteous gift thou shouldst in bounty cherish:,53,8,XI,11,12,163
"She carv'd thee for her seal, and meant thereby,",48,9,XI,11,13,164
"Thou shouldst print more, not let that copy die.",48,9,XI,11,14,165
XII,3,1,XII,12,0,166
"When I do count the clock that tells the time,",46,10,XII,12,1,167
And see the brave day sunk in hideous night;,44,9,XII,12,2,168
"When I behold the violet past prime,",36,7,XII,12,3,169
"And sable curls, all silvered o'er with white;",46,8,XII,12,4,170
"When lofty trees I see barren of leaves,",40,8,XII,12,5,171
"Which erst from heat did canopy the herd,",41,8,XII,12,6,172
"And summer's green all girded up in sheaves,",44,8,XII,12,7,173
"Borne on the bier with white and bristly beard,",47,9,XII,12,8,174
"Then of thy beauty do I question make,",38,8,XII,12,9,175
"That thou among the wastes of time must go,",43,9,XII,12,10,176
Since sweets and beauties do themselves forsake,47,7,XII,12,11,177
And die as fast as they see others grow;,40,9,XII,12,12,178
And nothing 'gainst Time's scythe can make defence,50,8,XII,12,13,179
"Save breed, to brave him when he takes thee hence.",50,10,XII,12,14,180
XIII,4,1,XIII,13,0,181
"O! that you were your self; but, love you are",45,10,XIII,13,1,182
"No longer yours, than you your self here live:",46,9,XIII,13,2,183
"Against this coming end you should prepare,",43,7,XIII,13,3,184
And your sweet semblance to some other give:,44,8,XIII,13,4,185
So should that beauty which you hold in lease,45,9,XIII,13,5,186
Find no determination; then you were,36,6,XIII,13,6,187
"Yourself again, after yourself's decease,",41,5,XIII,13,7,188
When your sweet issue your sweet form should bear.,50,9,XIII,13,8,189
"Who lets so fair a house fall to decay,",39,9,XIII,13,9,190
"Which husbandry in honour might uphold,",39,6,XIII,13,10,191
Against the stormy gusts of winter's day,40,7,XIII,13,11,192
And barren rage of death's eternal cold?,40,7,XIII,13,12,193
"O! none but unthrifts. Dear my love, you know,",46,9,XIII,13,13,194
You had a father: let your son say so.,38,9,XIII,13,14,195
XIV,3,1,XIV,14,0,196
Not from the stars do I my judgement pluck;,43,9,XIV,14,1,197
"And yet methinks I have astronomy,",34,6,XIV,14,2,198
"But not to tell of good or evil luck,",37,9,XIV,14,3,199
"Of plagues, of dearths, or seasons' quality;",44,7,XIV,14,4,200
"Nor can I fortune to brief minutes tell,",40,8,XIV,14,5,201
"Pointing to each his thunder, rain and wind,",44,8,XIV,14,6,202
Or say with princes if it shall go well,39,9,XIV,14,7,203
By oft predict that I in heaven find:,37,8,XIV,14,8,204
"But from thine eyes my knowledge I derive,",42,8,XIV,14,9,205
And constant stars in them I read such art,42,9,XIV,14,10,206
"As 'Truth and beauty shall together thrive,",43,7,XIV,14,11,207
"If from thyself, to store thou wouldst convert';",48,8,XIV,14,12,208
Or else of thee this I prognosticate:,37,7,XIV,14,13,209
'Thy end is truth's and beauty's doom and date.',48,9,XIV,14,14,210
XV,2,1,XV,15,0,211
When I consider every thing that grows,38,7,XV,15,1,212
"Holds in perfection but a little moment,",40,7,XV,15,2,213
That this huge stage presenteth nought but shows,48,8,XV,15,3,214
Whereon the stars in secret influence comment;,46,7,XV,15,4,215
"When I perceive that men as plants increase,",44,8,XV,15,5,216
"Cheered and checked even by the self-same sky,",46,8,XV,15,6,217
"Vaunt in their youthful sap, at height decrease,",48,8,XV,15,7,218
And wear their brave state out of memory;,41,8,XV,15,8,219
Then the conceit of this inconstant stay,40,7,XV,15,9,220
"Sets you most rich in youth before my sight,",44,9,XV,15,10,221
Where wasteful Time debateth with decay,39,6,XV,15,11,222
"To change your day of youth to sullied night,",45,9,XV,15,12,223
"And all in war with Time for love of you,",41,10,XV,15,13,224
"As he takes from you, I engraft you new.",40,9,XV,15,14,225
XVI,3,1,XVI,16,0,226
But wherefore do not you a mightier way,39,8,XVI,16,1,227
"Make war upon this bloody tyrant, Time?",39,7,XVI,16,2,228
And fortify your self in your decay,35,7,XVI,16,3,229
With means more blessed than my barren rhyme?,45,8,XVI,16,4,230
"Now stand you on the top of happy hours,",40,9,XVI,16,5,231
"And many maiden gardens, yet unset,",35,6,XVI,16,6,232
"With virtuous wish would bear you living flowers,",49,8,XVI,16,7,233
Much liker than your painted counterfeit:,41,6,XVI,16,8,234
"So should the lines of life that life repair,",45,9,XVI,16,9,235
"Which this, Time's pencil, or my pupil pen,",43,8,XVI,16,10,236
"Neither in inward worth nor outward fair,",41,7,XVI,16,11,237
Can make you live your self in eyes of men.,43,10,XVI,16,12,238
"To give away yourself, keeps yourself still,",44,7,XVI,16,13,239
"And you must live, drawn by your own sweet skill.",49,10,XVI,16,14,240
XVII,4,1,XVII,17,0,241
"Who will believe my verse in time to come,",42,9,XVII,17,1,242
If it were fill'd with your most high deserts?,46,9,XVII,17,2,243
Though yet heaven knows it is but as a tomb,43,10,XVII,17,3,244
"Which hides your life, and shows not half your parts.",53,10,XVII,17,4,245
"If I could write the beauty of your eyes,",41,9,XVII,17,5,246
"And in fresh numbers number all your graces,",44,8,XVII,17,6,247
The age to come would say 'This poet lies;,42,9,XVII,17,7,248
Such heavenly touches ne'er touch'd earthly faces.',51,7,XVII,17,8,249
"So should my papers, yellow'd with their age,",45,8,XVII,17,9,250
"Be scorn'd, like old men of less truth than tongue,",51,10,XVII,17,10,251
And your true rights be term'd a poet's rage,44,9,XVII,17,11,252
And stretched metre of an antique song:,39,7,XVII,17,12,253
"But were some child of yours alive that time,",45,9,XVII,17,13,254
"You should live twice,--in it, and in my rhyme.",47,9,XVII,17,14,255
XVIII,5,1,XVIII,18,0,256
Shall I compare thee to a summer's day?,39,8,XVIII,18,1,257
Thou art more lovely and more temperate:,40,7,XVIII,18,2,258
"Rough winds do shake the darling buds of May,",45,9,XVIII,18,3,259
And summer's lease hath all too short a date:,45,9,XVIII,18,4,260
"Sometime too hot the eye of heaven shines,",42,8,XVIII,18,5,261
"And often is his gold complexion dimm'd,",40,7,XVIII,18,6,262
"And every fair from fair sometime declines,",43,7,XVIII,18,7,263
"By chance, or nature's changing course untrimm'd:",49,7,XVIII,18,8,264
"But thy eternal summer shall not fade,",38,7,XVIII,18,9,265
"Nor lose possession of that fair thou ow'st,",44,8,XVIII,18,10,266
"Nor shall death brag thou wander'st in his shade,",49,9,XVIII,18,11,267
"When in eternal lines to time thou grow'st,",43,8,XVIII,18,12,268
"So long as men can breathe, or eyes can see,",44,10,XVIII,18,13,269
"So long lives this, and this gives life to thee.",48,10,XVIII,18,14,270
XIX,3,1,XIX,19,0,271
"Devouring Time, blunt thou the lion's paws,",43,7,XIX,19,1,272
And make the earth devour her own sweet brood;,46,9,XIX,19,2,273
"Pluck the keen teeth from the fierce tiger's jaws,",50,9,XIX,19,3,274
"And burn the long-liv'd phoenix, in her blood;",46,8,XIX,19,4,275
"Make glad and sorry seasons as thou fleets,",43,8,XIX,19,5,276
"And do whate'er thou wilt, swift-footed Time,",45,7,XIX,19,6,277
To the wide world and all her fading sweets;,44,9,XIX,19,7,278
But I forbid thee one most heinous crime:,41,8,XIX,19,8,279
"O! carve not with thy hours my love's fair brow,",48,10,XIX,19,9,280
Nor draw no lines there with thine antique pen;,47,9,XIX,19,10,281
Him in thy course untainted do allow,36,7,XIX,19,11,282
For beauty's pattern to succeeding men.,39,6,XIX,19,12,283
"Yet, do thy worst old Time: despite thy wrong,",46,9,XIX,19,13,284
My love shall in my verse ever live young.,42,9,XIX,19,14,285
XX,2,1,XX,20,0,286
"A woman's face with nature's own hand painted,",46,8,XX,20,1,287
"Hast thou, the master mistress of my passion;",45,8,XX,20,2,288
"A woman's gentle heart, but not acquainted",42,7,XX,20,3,289
"With shifting change, as is false women's fashion:",50,8,XX,20,4,290
"An eye more bright than theirs, less false in rolling,",54,10,XX,20,5,291
Gilding the object whereupon it gazeth;,39,6,XX,20,6,292
"A man in hue all 'hues' in his controlling,",43,9,XX,20,7,293
Which steals men's eyes and women's souls amazeth.,50,8,XX,20,8,294
And for a woman wert thou first created;,40,8,XX,20,9,295
"Till Nature, as she wrought thee, fell a-doting,",48,8,XX,20,10,296
"And by addition me of thee defeated,",36,7,XX,20,11,297
By adding one thing to my purpose nothing.,42,8,XX,20,12,298
"But since she prick'd thee out for women's pleasure,",52,9,XX,20,13,299
Mine be thy love and thy love's use their treasure.,51,10,XX,20,14,300
XXI,3,1,XXI,21,0,301
"So is it not with me as with that Muse,",39,10,XXI,21,1,302
"Stirr'd by a painted beauty to his verse,",41,8,XXI,21,2,303
Who heaven itself for ornament doth use,39,7,XXI,21,3,304
"And every fair with his fair doth rehearse,",43,8,XXI,21,4,305
Making a couplement of proud compare.,37,6,XXI,21,5,306
"With sun and moon, with earth and sea's rich gems,",50,10,XXI,21,6,307
"With April's first-born flowers, and all things rare,",53,8,XXI,21,7,308
That heaven's air in this huge rondure hems.,44,8,XXI,21,8,309
"O! let me, true in love, but truly write,",41,9,XXI,21,9,310
"And then believe me, my love is as fair",39,9,XXI,21,10,311
"As any mother's child, though not so bright",43,8,XXI,21,11,312
As those gold candles fix'd in heaven's air:,44,8,XXI,21,12,313
Let them say more that like of hearsay well;,44,9,XXI,21,13,314
I will not praise that purpose not to sell.,43,9,XXI,21,14,315
XXII,4,1,XXII,22,0,316
"My glass shall not persuade me I am old,",40,9,XXII,22,1,317
So long as youth and thou are of one date;,42,10,XXII,22,2,318
"But when in thee time's furrows I behold,",41,8,XXII,22,3,319
Then look I death my days should expiate.,41,8,XXII,22,4,320
"For all that beauty that doth cover thee,",41,8,XXII,22,5,321
"Is but the seemly raiment of my heart,",38,8,XXII,22,6,322
"Which in thy breast doth live, as thine in me:",46,10,XXII,22,7,323
How can I then be elder than thou art?,38,9,XXII,22,8,324
"O! therefore love, be of thyself so wary",40,8,XXII,22,9,325
"As I, not for myself, but for thee will;",40,9,XXII,22,10,326
"Bearing thy heart, which I will keep so chary",45,9,XXII,22,11,327
As tender nurse her babe from faring ill.,41,8,XXII,22,12,328
"Presume not on thy heart when mine is slain,",44,9,XXII,22,13,329
Thou gav'st me thine not to give back again.,44,9,XXII,22,14,330
XXIII,5,1,XXIII,23,0,331
"As an unperfect actor on the stage,",35,7,XXIII,23,1,332
"Who with his fear is put beside his part,",41,9,XXIII,23,2,333
"Or some fierce thing replete with too much rage,",48,9,XXIII,23,3,334
Whose strength's abundance weakens his own heart;,49,7,XXIII,23,4,335
"So I, for fear of trust, forget to say",38,9,XXIII,23,5,336
"The perfect ceremony of love's rite,",36,6,XXIII,23,6,337
"And in mine own love's strength seem to decay,",46,9,XXIII,23,7,338
O'ercharg'd with burthen of mine own love's might.,50,8,XXIII,23,8,339
O! let my looks be then the eloquence,37,8,XXIII,23,9,340
"And dumb presagers of my speaking breast,",41,7,XXIII,23,10,341
"Who plead for love, and look for recompense,",44,8,XXIII,23,11,342
More than that tongue that more hath more express'd.,52,9,XXIII,23,12,343
O! learn to read what silent love hath writ:,44,9,XXIII,23,13,344
To hear with eyes belongs to love's fine wit.,45,9,XXIII,23,14,345
XXIV,4,1,XXIV,24,0,346
"Mine eye hath play'd the painter and hath stell'd,",50,9,XXIV,24,1,347
Thy beauty's form in table of my heart;,39,8,XXIV,24,2,348
"My body is the frame wherein 'tis held,",39,8,XXIV,24,3,349
And perspective it is best painter's art.,41,7,XXIV,24,4,350
"For through the painter must you see his skill,",47,9,XXIV,24,5,351
"To find where your true image pictur'd lies,",44,8,XXIV,24,6,352
"Which in my bosom's shop is hanging still,",42,8,XXIV,24,7,353
That hath his windows glazed with thine eyes.,45,8,XXIV,24,8,354
Now see what good turns eyes for eyes have done:,48,10,XXIV,24,9,355
"Mine eyes have drawn thy shape, and thine for me",48,10,XXIV,24,10,356
"Are windows to my breast, where-through the sun",47,8,XXIV,24,11,357
"Delights to peep, to gaze therein on thee;",42,8,XXIV,24,12,358
"Yet eyes this cunning want to grace their art,",46,9,XXIV,24,13,359
"They draw but what they see, know not the heart.",48,10,XXIV,24,14,360
XXV,3,1,XXV,25,0,361
Let those who are in favour with their stars,44,9,XXV,25,1,362
"Of public honour and proud titles boast,",40,7,XXV,25,2,363
"Whilst I, whom fortune of such triumph bars",43,8,XXV,25,3,364
Unlook'd for joy in that I honour most.,39,8,XXV,25,4,365
Great princes' favourites their fair leaves spread,50,7,XXV,25,5,366
"But as the marigold at the sun's eye,",37,8,XXV,25,6,367
"And in themselves their pride lies buried,",42,7,XXV,25,7,368
For at a frown they in their glory die.,39,9,XXV,25,8,369
"The painful warrior famoused for fight,",39,6,XXV,25,9,370
"After a thousand victories once foil'd,",39,6,XXV,25,10,371
"Is from the book of honour razed quite,",39,8,XXV,25,11,372
And all the rest forgot for which he toil'd:,44,9,XXV,25,12,373
"Then happy I, that love and am belov'd,",39,8,XXV,25,13,374
Where I may not remove nor be remov'd.,38,8,XXV,25,14,375
XXVI,4,1,XXVI,26,0,376
"Lord of my love, to whom in vassalage",37,8,XXVI,26,1,377
"Thy merit hath my duty strongly knit,",37,7,XXVI,26,2,378
"To thee I send this written embassage,",38,7,XXVI,26,3,379
"To witness duty, not to show my wit:",36,8,XXVI,26,4,380
"Duty so great, which wit so poor as mine",40,9,XXVI,26,5,381
"May make seem bare, in wanting words to show it,",48,10,XXVI,26,6,382
But that I hope some good conceit of thine,42,9,XXVI,26,7,383
"In thy soul's thought, all naked, will bestow it:",49,9,XXVI,26,8,384
"Till whatsoever star that guides my moving,",43,7,XXVI,26,9,385
"Points on me graciously with fair aspect,",41,7,XXVI,26,10,386
"And puts apparel on my tatter'd loving,",39,7,XXVI,26,11,387
To show me worthy of thy sweet respect:,39,8,XXVI,26,12,388
Then may I dare to boast how I do love thee;,44,11,XXVI,26,13,389
"Till then, not show my head where thou mayst prove me.",54,11,XXVI,26,14,390
XXVII,5,1,XXVII,27,0,391
"Weary with toil, I haste me to my bed,",38,9,XXVII,27,1,392
The dear respose for limbs with travel tir'd;,45,8,XXVII,27,2,393
But then begins a journey in my head,36,8,XXVII,27,3,394
"To work my mind, when body's work's expired:",44,8,XXVII,27,4,395
For then my thoughts--from far where I abide--,46,8,XXVII,27,5,396
"Intend a zealous pilgrimage to thee,",36,6,XXVII,27,6,397
"And keep my drooping eyelids open wide,",39,7,XXVII,27,7,398
Looking on darkness which the blind do see:,43,8,XXVII,27,8,399
Save that my soul's imaginary sight,35,6,XXVII,27,9,400
"Presents thy shadow to my sightless view,",41,7,XXVII,27,10,401
"Which, like a jewel hung in ghastly night,",42,8,XXVII,27,11,402
"Makes black night beauteous, and her old face new.",50,9,XXVII,27,12,403
"Lo! thus, by day my limbs, by night my mind,",44,10,XXVII,27,13,404
"For thee, and for myself, no quiet find.",40,8,XXVII,27,14,405
XXVIII,6,1,XXVIII,28,0,406
"How can I then return in happy plight,",38,8,XXVIII,28,1,407
That am debarre'd the benefit of rest?,38,7,XXVIII,28,2,408
"When day's oppression is not eas'd by night,",44,8,XXVIII,28,3,409
"But day by night and night by day oppress'd,",44,9,XXVIII,28,4,410
"And each, though enemies to either's reign,",43,7,XXVIII,28,5,411
"Do in consent shake hands to torture me,",40,8,XXVIII,28,6,412
"The one by toil, the other to complain",38,8,XXVIII,28,7,413
"How far I toil, still farther off from thee.",44,9,XXVIII,28,8,414
"I tell the day, to please him thou art bright,",46,10,XXVIII,28,9,415
And dost him grace when clouds do blot the heaven:,50,10,XXVIII,28,10,416
"So flatter I the swart-complexion'd night,",42,6,XXVIII,28,11,417
When sparkling stars twire not thou gild'st the even.,53,9,XXVIII,28,12,418
"But day doth daily draw my sorrows longer,",42,8,XXVIII,28,13,419
And night doth nightly make grief's length seem stronger.,57,9,XXVIII,28,14,420
XXIX,4,1,XXIX,29,0,421
When in disgrace with fortune and men's eyes,44,8,XXIX,29,1,422
"I all alone beweep my outcast state,",36,7,XXIX,29,2,423
"And trouble deaf heaven with my bootless cries,",47,8,XXIX,29,3,424
"And look upon myself, and curse my fate,",40,8,XXIX,29,4,425
"Wishing me like to one more rich in hope,",41,9,XXIX,29,5,426
"Featur'd like him, like him with friends possess'd,",51,8,XXIX,29,6,427
"Desiring this man's art, and that man's scope,",46,8,XXIX,29,7,428
With what I most enjoy contented least;,39,7,XXIX,29,8,429
"Yet in these thoughts my self almost despising,",47,8,XXIX,29,9,430
"Haply I think on thee,-- and then my state,",43,9,XXIX,29,10,431
Like to the lark at break of day arising,40,9,XXIX,29,11,432
"From sullen earth, sings hymns at heaven's gate;",48,8,XXIX,29,12,433
For thy sweet love remember'd such wealth brings,48,8,XXIX,29,13,434
That then I scorn to change my state with kings.,48,10,XXIX,29,14,435
XXX,3,1,XXX,30,0,436
When to the sessions of sweet silent thought,44,8,XXX,30,1,437
"I summon up remembrance of things past,",39,7,XXX,30,2,438
"I sigh the lack of many a thing I sought,",41,10,XXX,30,3,439
And with old woes new wail my dear time's waste:,48,10,XXX,30,4,440
"Then can I drown an eye, unused to flow,",40,9,XXX,30,5,441
"For precious friends hid in death's dateless night,",51,8,XXX,30,6,442
"And weep afresh love's long since cancell'd woe,",48,8,XXX,30,7,443
And moan the expense of many a vanish'd sight:,46,9,XXX,30,8,444
"Then can I grieve at grievances foregone,",41,7,XXX,30,9,445
And heavily from woe to woe tell o'er,37,8,XXX,30,10,446
"The sad account of fore-bemoaned moan,",38,6,XXX,30,11,447
Which I new pay as if not paid before.,38,9,XXX,30,12,448
"But if the while I think on thee, dear friend,",46,10,XXX,30,13,449
All losses are restor'd and sorrows end.,40,7,XXX,30,14,450
XXXI,4,1,XXXI,31,0,451
"Thy bosom is endeared with all hearts,",38,7,XXXI,31,1,452
Which I by lacking have supposed dead;,38,7,XXXI,31,2,453
"And there reigns Love, and all Love's loving parts,",51,9,XXXI,31,3,454
And all those friends which I thought buried.,45,8,XXXI,31,4,455
How many a holy and obsequious tear,35,7,XXXI,31,5,456
"Hath dear religious love stol'n from mine eye,",46,8,XXXI,31,6,457
"As interest of the dead, which now appear",41,8,XXXI,31,7,458
But things remov'd that hidden in thee lie!,43,8,XXXI,31,8,459
"Thou art the grave where buried love doth live,",47,9,XXXI,31,9,460
"Hung with the trophies of my lovers gone,",41,8,XXXI,31,10,461
"Who all their parts of me to thee did give,",43,10,XXXI,31,11,462
That due of many now is thine alone:,36,8,XXXI,31,12,463
"Their images I lov'd, I view in thee,",37,8,XXXI,31,13,464
And thou--all they--hast all the all of me.,43,8,XXXI,31,14,465
XXXII,5,1,XXXII,32,0,466
"If thou survive my well-contented day,",38,6,XXXII,32,1,467
When that churl Death my bones with dust shall cover,52,10,XXXII,32,2,468
And shalt by fortune once more re-survey,40,7,XXXII,32,3,469
