text,char,word,index,index_num,line
That hath his windows glazed with thine eyes.,45,8,XXIV,24,8
Now see what good turns eyes for eyes have done:,48,10,XXIV,24,9
"Mine eyes have drawn thy shape, and thine for me",48,10,XXIV,24,10
"Are windows to my breast, where-through the sun",47,8,XXIV,24,11
"Delights to peep, to gaze therein on thee;",42,8,XXIV,24,12
"Yet eyes this cunning want to grace their art,",46,9,XXIV,24,13
"They draw but what they see, know not the heart.",48,10,XXIV,24,14
XXV,3,1,XXV,25,0
Let those who are in favour with their stars,44,9,XXV,25,1
"Of public honour and proud titles boast,",40,7,XXV,25,2
"Whilst I, whom fortune of such triumph bars",43,8,XXV,25,3
Unlook'd for joy in that I honour most.,39,8,XXV,25,4
Great princes' favourites their fair leaves spread,50,7,XXV,25,5
"But as the marigold at the sun's eye,",37,8,XXV,25,6
"And in themselves their pride lies buried,",42,7,XXV,25,7
For at a frown they in their glory die.,39,9,XXV,25,8
"The painful warrior famoused for fight,",39,6,XXV,25,9
"After a thousand victories once foil'd,",39,6,XXV,25,10
"Is from the book of honour razed quite,",39,8,XXV,25,11
And all the rest forgot for which he toil'd:,44,9,XXV,25,12
"Then happy I, that love and am belov'd,",39,8,XXV,25,13
Where I may not remove nor be remov'd.,38,8,XXV,25,14
XXVI,4,1,XXVI,26,0
"Lord of my love, to whom in vassalage",37,8,XXVI,26,1
"Thy merit hath my duty strongly knit,",37,7,XXVI,26,2
"To thee I send this written embassage,",38,7,XXVI,26,3
"To witness duty, not to show my wit:",36,8,XXVI,26,4
"Duty so great, which wit so poor as mine",40,9,XXVI,26,5
"May make seem bare, in wanting words to show it,",48,10,XXVI,26,6
But that I hope some good conceit of thine,42,9,XXVI,26,7
"In thy soul's thought, all naked, will bestow it:",49,9,XXVI,26,8
"Till whatsoever star that guides my moving,",43,7,XXVI,26,9
"Points on me graciously with fair aspect,",41,7,XXVI,26,10
"And puts apparel on my tatter'd loving,",39,7,XXVI,26,11
To show me worthy of thy sweet respect:,39,8,XXVI,26,12
Then may I dare to boast how I do love thee;,44,11,XXVI,26,13
"Till then, not show my head where thou mayst prove me.",54,11,XXVI,26,14
XXVII,5,1,XXVII,27,0
"Weary with toil, I haste me to my bed,",38,9,XXVII,27,1
The dear respose for limbs with travel tir'd;,45,8,XXVII,27,2
But then begins a journey in my head,36,8,XXVII,27,3
"To work my mind, when body's work's expired:",44,8,XXVII,27,4
For then my thoughts--from far where I abide--,46,8,XXVII,27,5
"Intend a zealous pilgrimage to thee,",36,6,XXVII,27,6
"And keep my drooping eyelids open wide,",39,7,XXVII,27,7
Looking on darkness which the blind do see:,43,8,XXVII,27,8
Save that my soul's imaginary sight,35,6,XXVII,27,9
"Presents thy shadow to my sightless view,",41,7,XXVII,27,10
"Which, like a jewel hung in ghastly night,",42,8,XXVII,27,11
"Makes black night beauteous, and her old face new.",50,9,XXVII,27,12
"Lo! thus, by day my limbs, by night my mind,",44,10,XXVII,27,13
"For thee, and for myself, no quiet find.",40,8,XXVII,27,14
XXVIII,6,1,XXVIII,28,0
"How can I then return in happy plight,",38,8,XXVIII,28,1
That am debarre'd the benefit of rest?,38,7,XXVIII,28,2
"When day's oppression is not eas'd by night,",44,8,XXVIII,28,3
"But day by night and night by day oppress'd,",44,9,XXVIII,28,4
"And each, though enemies to either's reign,",43,7,XXVIII,28,5
"Do in consent shake hands to torture me,",40,8,XXVIII,28,6
"The one by toil, the other to complain",38,8,XXVIII,28,7
"How far I toil, still farther off from thee.",44,9,XXVIII,28,8
"I tell the day, to please him thou art bright,",46,10,XXVIII,28,9
And dost him grace when clouds do blot the heaven:,50,10,XXVIII,28,10
"So flatter I the swart-complexion'd night,",42,6,XXVIII,28,11
When sparkling stars twire not thou gild'st the even.,53,9,XXVIII,28,12
"But day doth daily draw my sorrows longer,",42,8,XXVIII,28,13
And night doth nightly make grief's length seem stronger.,57,9,XXVIII,28,14
XXIX,4,1,XXIX,29,0
When in disgrace with fortune and men's eyes,44,8,XXIX,29,1
"I all alone beweep my outcast state,",36,7,XXIX,29,2
"And trouble deaf heaven with my bootless cries,",47,8,XXIX,29,3
"And look upon myself, and curse my fate,",40,8,XXIX,29,4
"Wishing me like to one more rich in hope,",41,9,XXIX,29,5
"Featur'd like him, like him with friends possess'd,",51,8,XXIX,29,6
"Desiring this man's art, and that man's scope,",46,8,XXIX,29,7
With what I most enjoy contented least;,39,7,XXIX,29,8
"Yet in these thoughts my self almost despising,",47,8,XXIX,29,9
"Haply I think on thee,-- and then my state,",43,9,XXIX,29,10
Like to the lark at break of day arising,40,9,XXIX,29,11
"From sullen earth, sings hymns at heaven's gate;",48,8,XXIX,29,12
For thy sweet love remember'd such wealth brings,48,8,XXIX,29,13
That then I scorn to change my state with kings.,48,10,XXIX,29,14
XXX,3,1,XXX,30,0
When to the sessions of sweet silent thought,44,8,XXX,30,1
"I summon up remembrance of things past,",39,7,XXX,30,2
"I sigh the lack of many a thing I sought,",41,10,XXX,30,3
And with old woes new wail my dear time's waste:,48,10,XXX,30,4
"Then can I drown an eye, unused to flow,",40,9,XXX,30,5
"For precious friends hid in death's dateless night,",51,8,XXX,30,6
"And weep afresh love's long since cancell'd woe,",48,8,XXX,30,7
And moan the expense of many a vanish'd sight:,46,9,XXX,30,8
"Then can I grieve at grievances foregone,",41,7,XXX,30,9
And heavily from woe to woe tell o'er,37,8,XXX,30,10
"The sad account of fore-bemoaned moan,",38,6,XXX,30,11
Which I new pay as if not paid before.,38,9,XXX,30,12
"But if the while I think on thee, dear friend,",46,10,XXX,30,13
All losses are restor'd and sorrows end.,40,7,XXX,30,14
XXXI,4,1,XXXI,31,0
"Thy bosom is endeared with all hearts,",38,7,XXXI,31,1
Which I by lacking have supposed dead;,38,7,XXXI,31,2
"And there reigns Love, and all Love's loving parts,",51,9,XXXI,31,3
And all those friends which I thought buried.,45,8,XXXI,31,4
How many a holy and obsequious tear,35,7,XXXI,31,5
"Hath dear religious love stol'n from mine eye,",46,8,XXXI,31,6
"As interest of the dead, which now appear",41,8,XXXI,31,7
But things remov'd that hidden in thee lie!,43,8,XXXI,31,8
"Thou art the grave where buried love doth live,",47,9,XXXI,31,9
"Hung with the trophies of my lovers gone,",41,8,XXXI,31,10
"Who all their parts of me to thee did give,",43,10,XXXI,31,11
That due of many now is thine alone:,36,8,XXXI,31,12
"Their images I lov'd, I view in thee,",37,8,XXXI,31,13
And thou--all they--hast all the all of me.,43,8,XXXI,31,14
XXXII,5,1,XXXII,32,0
"If thou survive my well-contented day,",38,6,XXXII,32,1
When that churl Death my bones with dust shall cover,52,10,XXXII,32,2
And shalt by fortune once more re-survey,40,7,XXXII,32,3
"These poor rude lines of thy deceased lover,",44,8,XXXII,32,4
"Compare them with the bett'ring of the time,",44,8,XXXII,32,5
"And though they be outstripp'd by every pen,",44,8,XXXII,32,6
"Reserve them for my love, not for their rhyme,",46,9,XXXII,32,7
Exceeded by the height of happier men.,38,7,XXXII,32,8
O! then vouchsafe me but this loving thought:,45,8,XXXII,32,9
"'Had my friend's Muse grown with this growing age,",50,9,XXXII,32,10
"A dearer birth than this his love had brought,",46,9,XXXII,32,11
To march in ranks of better equipage:,37,7,XXXII,32,12
"But since he died and poets better prove,",41,8,XXXII,32,13
"Theirs for their style I'll read, his for his love'.",52,10,XXXII,32,14
XXXIII,6,1,XXXIII,33,0
Full many a glorious morning have I seen,40,8,XXXIII,33,1
"Flatter the mountain tops with sovereign eye,",45,7,XXXIII,33,2
"Kissing with golden face the meadows green,",43,7,XXXIII,33,3
Gilding pale streams with heavenly alchemy;,43,6,XXXIII,33,4
Anon permit the basest clouds to ride,37,7,XXXIII,33,5
"With ugly rack on his celestial face,",37,7,XXXIII,33,6
"And from the forlorn world his visage hide,",43,8,XXXIII,33,7
Stealing unseen to west with this disgrace:,43,7,XXXIII,33,8
"Even so my sun one early morn did shine,",40,9,XXXIII,33,9
With all triumphant splendour on my brow;,41,7,XXXIII,33,10
"But out! alack! he was but one hour mine,",41,9,XXXIII,33,11
The region cloud hath mask'd him from me now.,45,9,XXXIII,33,12
Yet him for this my love no whit disdaineth;,44,9,XXXIII,33,13
Suns of the world may stain when heaven's sun staineth.,55,10,XXXIII,33,14
XXXIV,5,1,XXXIV,34,0
"Why didst thou promise such a beauteous day,",44,8,XXXIV,34,1
"And make me travel forth without my cloak,",42,8,XXXIV,34,2
"To let base clouds o'ertake me in my way,",41,9,XXXIV,34,3
Hiding thy bravery in their rotten smoke?,41,7,XXXIV,34,4
"'Tis not enough that through the cloud thou break,",50,9,XXXIV,34,5
